planet_name,hoststar_name,star_count,planet_count,moon_count,circumbinary_flag,discovery_method,discovery_year,discovery_facility,controversial_flag,orbital_period,orbit_semi_major_axis,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,planet_density,planet_orbital_eccentricity,planet_insolation_flux,planet_equilibrium_temperature,spectral_type,stellar_effective_temperature,stellar_radius,stellar_mass,stellar_metallicity,stellar_metallicity_ratio,stellar_luminosity,stellar_surface_gravity,stellar_age,stellar_density,stellar_rotational_velocity,stellar_rotational_period
WASP-32 b,WASP-32,1,1,0,0,Transit,2010,SuperWASP,0,2.71866000,0.039400,10.761,0.960,835.89290,2.63000,3.240000,0.000000,616.33,1388,,6140.00,0.95,0.72,-0.130,[Fe/H],0.193,4.40,2.220,1.18000,3.9000,11.60
WASP-33 b,WASP-33,2,1,0,0,Transit,2010,SuperWASP,0,1.21987000,0.023900,17.856,1.593,665.21819,2.09300,0.689000,0.000000,9392.05,2782,A5,7430.00,1.44,1.50,0.100,[M/H],0.819,4.25,,0.70000,90.0000,
WASP-34 b,WASP-34,1,1,0,0,Transit,2010,SuperWASP,0,4.31768000,0.052400,11.209,1.000,177.98480,0.56000,0.412000,0.040000,425.71,1250,,5700.00,0.91,0.96,-0.020,[Fe/H],0.039,4.50,7.800,1.78000,1.4000,
WASP-35 b,WASP-35,1,1,0,0,Transit,2011,SuperWASP,0,3.16158000,0.043170,14.572,1.300,225.65930,0.71000,0.378000,0.000000,758.10,1338,,5990.00,1.08,1.05,-0.150,[Fe/H],0.144,4.40,5.000,1.17000,3.9000,
WASP-36 b,WASP-36,2,1,0,0,Transit,2011,SuperWASP,0,1.53736596,0.026770,14.874,1.327,750.39663,2.36100,1.260000,0.019000,1422.61,1733,,5959.00,0.99,1.08,-0.260,[Fe/H],0.001,4.49,1.400,1.59500,3.3000,
WASP-37 b,WASP-37,1,1,0,0,Transit,2010,SuperWASP,0,3.57746900,0.044600,13.002,1.160,572.07000,1.80000,1.530000,0.000000,545.33,1232,,5800.00,1.00,0.93,-0.284,[M/H],-0.021,4.41,11.000,1.23742,2.4000,
WASP-38 b,WASP-38,1,1,0,0,Transit,2010,SuperWASP,0,6.87188000,0.075220,13.787,1.230,1093.33520,3.44000,2.540000,0.030000,,1250,F8 V,6180.00,1.52,1.76,-0.020,[Fe/H],0.453,4.25,3.290,0.71000,7.5000,
WASP-39 b,WASP-39,1,1,0,0,Transit,2011,SuperWASP,0,4.05525900,0.048600,14.235,1.270,88.98900,0.28000,0.186000,0.000000,316.31,1166,,5400.00,0.90,0.93,0.010,[Fe/H],-0.128,4.45,9.000,1.55500,1.4000,
WASP-4 b,WASP-4,1,1,0,0,Transit,2007,SuperWASP,0,1.33823147,0.022600,14.807,1.321,376.94638,1.18600,0.612000,0.000000,1188.62,1673,G8,5400.00,0.89,0.86,-0.070,[Fe/H],-0.179,4.47,7.000,1.71100,2.1400,22.20
WASP-41 b,WASP-41,1,2,0,0,Transit,2012,SuperWASP,0,3.05240000,0.040220,12.330,1.100,270.15550,0.85000,0.742000,0.000000,344.15,1244,,5545.00,0.83,0.81,0.060,[Fe/H],-0.195,4.53,1.200,2.01000,2.6400,18.41
WASP-41 c,WASP-41,1,2,0,0,Radial Velocity,2015,La Silla Observatory,0,421.00000000,1.070000,13.100,1.170,1010.69940,3.18000,2.470000,0.294000,,241,,5545.00,0.87,0.93,0.060,[Fe/H],-0.195,4.53,1.200,1.99000,2.6400,18.41
WASP-42 b,WASP-42,1,1,0,0,Transit,2012,SuperWASP,0,4.98168190,0.056100,12.576,1.122,167.49641,0.52700,0.464000,0.062000,137.12,1021,,5315.00,0.89,0.95,0.290,[Fe/H],-0.361,4.52,4.400,1.88500,2.7000,
WASP-43 b,WASP-43,1,1,0,0,Transit,2011,SuperWASP,0,0.81347500,0.014200,10.424,0.930,565.71400,1.78000,2.939000,0.000000,680.89,1427,K7 V,4400.00,0.60,0.58,-0.010,[Fe/H],-0.825,4.49,7.000,2.52600,4.0000,15.60
WASP-44 b,WASP-44,1,1,0,0,Transit,2011,SuperWASP,0,2.42380400,0.034530,12.330,1.100,276.51210,0.87000,0.811000,0.068000,533.00,1337,G8 V,5420.00,0.91,0.94,-0.003,[Fe/H],-0.198,4.49,10.300,1.77000,3.2000,
WASP-45 b,WASP-45,2,1,0,0,Transit,2011,SuperWASP,0,3.12608900,0.039630,10.604,0.946,306.38812,0.96400,1.418000,0.043000,294.00,1153,K2 V,5150.00,0.86,0.85,-0.030,[Fe/H],-0.336,4.50,12.700,1.92000,2.3000,
WASP-46 b,WASP-46,1,1,0,0,Transit,2011,SuperWASP,0,1.43036763,0.023350,13.159,1.174,607.05530,1.91000,1.467000,0.022000,1281.24,1636,G6 V,5600.00,0.86,0.83,-0.300,[Fe/H],-0.111,4.49,9.600,1.84500,1.9000,16.00
WASP-47 b,WASP-47,1,4,0,0,Transit,2012,SuperWASP,0,4.15914920,0.052000,12.640,1.128,363.60000,1.14401,0.989000,0.002800,534.00,1275,,5552.00,1.14,1.04,0.380,[Fe/H],0.032,4.34,6.500,0.99800,1.8000,32.50
WASP-47 c,WASP-47,1,4,0,0,Radial Velocity,2015,La Silla Observatory,0,588.80000000,1.393000,13.500,1.210,500.00000,1.57000,1.120000,0.295000,,247,,5552.00,1.14,1.04,0.380,[Fe/H],0.024,4.34,6.500,0.99800,1.8000,32.50
WASP-47 d,WASP-47,1,4,0,0,Transit,2015,K2,0,9.03055000,0.085000,3.567,0.318,14.20000,0.04468,1.720000,0.010000,190.00,,,5552.00,1.14,1.04,0.380,[Fe/H],0.032,4.34,6.500,0.99800,1.8000,32.50
WASP-47 e,WASP-47,1,4,0,0,Transit,2015,K2,0,0.78959330,0.016730,1.808,0.161,6.77000,0.02130,6.290000,0.030000,4895.00,,,5552.00,1.14,1.04,0.380,[Fe/H],0.032,4.34,6.500,0.99800,1.8000,32.50
WASP-48 b,WASP-48,1,1,0,0,Transit,2011,SuperWASP,0,2.14363000,0.034440,16.814,1.500,254.26400,0.80000,0.415000,0.000000,3410.26,2035,,5920.00,1.58,0.88,-0.120,[Fe/H],0.580,4.03,7.900,0.32000,12.2000,
WASP-49 b,WASP-49,2,1,0,0,Transit,2012,SuperWASP,0,2.78174000,0.037900,12.442,1.110,117.59710,0.37000,0.288000,0.000000,615.47,1400,G6 V,5600.00,0.97,0.92,-0.230,[Fe/H],-0.053,4.50,11.900,1.43000,0.9000,
WASP-5 b,WASP-5,1,1,0,0,Transit,2008,SuperWASP,0,1.62842790,0.026700,12.184,1.087,502.15000,1.58000,1.640000,0.038000,1559.48,1706,G5,5700.00,1.03,0.96,0.090,[Fe/H],0.067,4.40,5.400,1.24000,3.5000,16.20
WASP-50 b,WASP-50,1,1,0,0,Transit,2011,SuperWASP,0,1.95510000,0.029300,13.070,1.166,466.82870,1.46880,1.325000,0.009000,690.34,1395,,5400.00,0.84,0.89,-0.120,[Fe/H],-0.198,4.54,7.000,2.12000,2.6000,16.30
