planet_name,hoststar_name,star_count,planet_count,moon_count,circumbinary_flag,discovery_method,discovery_year,discovery_facility,controversial_flag,orbital_period,orbit_semi_major_axis,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,planet_density,planet_orbital_eccentricity,planet_insolation_flux,planet_equilibrium_temperature,spectral_type,stellar_effective_temperature,stellar_radius,stellar_mass,stellar_metallicity,stellar_metallicity_ratio,stellar_luminosity,stellar_surface_gravity,stellar_age,stellar_density,stellar_rotational_velocity,stellar_rotational_period
Kepler-1127 b,Kepler-1127,1,1,0,0,Transit,2016,Kepler,0,5.12330347,0.055600,1.960,0.175,4.50000,0.01420,3.280000,0.000000,160.76,994,,5664.00,0.95,0.97,0.040,[Fe/H],-0.259,4.47,4.370,1.89424,,
Kepler-1128 b,Kepler-1128,1,1,0,0,Transit,2016,Kepler,0,61.61781670,0.302000,3.650,0.326,12.90000,0.04070,1.460000,0.000000,6.45,424,,5543.00,0.91,0.94,0.040,[Fe/H],-0.196,4.50,4.570,10.19029,,
Kepler-1129 b,Kepler-1129,1,2,0,0,Transit,2016,Kepler,0,24.33978040,0.164400,2.960,0.264,9.06000,0.02850,1.920000,0.000000,32.27,737,,5831.00,1.00,1.00,-0.040,[Fe/H],-0.027,4.44,4.070,3.86037,,
Kepler-1129 c,Kepler-1129,1,2,0,0,Transit,2016,Kepler,0,76.53695860,0.352800,2.730,0.244,7.90000,0.02490,2.130000,0.000000,7.01,503,,5831.00,1.00,1.00,-0.040,[Fe/H],-0.027,4.44,4.070,3.74105,,
Kepler-113 b,Kepler-113,1,2,0,0,Transit,2014,Kepler,0,4.75400000,0.050200,1.820,0.162,11.70000,0.03700,10.730000,0.000000,105.33,775,,4725.00,0.69,0.75,0.050,[Fe/H],-0.576,4.64,6.890,2.71000,0.4000,
Kepler-113 c,Kepler-113,1,2,0,0,Transit,2014,Kepler,0,8.92507000,0.076300,2.180,0.194,8.70000,0.02737,,0.000000,45.60,628,,4725.00,0.69,0.75,0.050,[Fe/H],-0.576,4.64,6.890,2.71000,0.4000,
Kepler-1130 b,Kepler-1130,2,3,0,0,Transit,2016,Kepler,0,5.45298175,0.059500,0.800,0.071,0.43700,0.00137,4.690000,0.000000,162.65,904,,5403.00,0.81,0.90,-0.060,[Fe/H],-0.260,4.57,1.580,1.96280,,
Kepler-1130 c,Kepler-1130,2,3,0,0,Transit,2021,Kepler,0,3.26663995,0.042300,0.792,0.071,0.42200,0.00133,4.660000,0.000000,312.85,1072,,5450.00,0.84,0.94,0.100,[Fe/H],-0.260,4.56,13.800,1.58888,,
Kepler-1130 d,Kepler-1130,2,3,0,0,Transit,2021,Kepler,0,4.27225018,0.050600,0.645,0.058,0.20200,0.00063,4.140000,0.000000,218.63,981,,5450.00,0.84,0.94,0.100,[Fe/H],-0.260,4.56,13.800,1.20860,,
Kepler-1131 b,Kepler-1131,1,1,0,0,Transit,2016,Kepler,0,3.53232449,0.045900,1.590,0.142,3.15000,0.00993,4.310000,0.000000,453.14,1159,,5851.00,1.04,1.03,0.050,[Fe/H],-0.028,4.42,4.170,1.41165,,
Kepler-1132 b,Kepler-1132,1,1,0,0,Transit,2016,Kepler,0,62.89162280,0.288100,2.350,0.210,6.12000,0.01930,2.590000,0.000000,4.55,384,,5298.00,0.83,0.87,-0.010,[Fe/H],-0.378,4.55,4.570,1.50773,,
Kepler-1133 b,Kepler-1133,1,1,0,0,Transit,2016,Kepler,0,11.55562343,0.098300,1.970,0.176,4.54000,0.01430,3.260000,0.000000,55.76,703,,5569.00,0.90,0.93,-0.020,[Fe/H],-0.210,4.50,4.070,20.39189,,
Kepler-1134 b,Kepler-1134,1,1,0,0,Transit,2016,Kepler,0,17.13263989,0.124200,2.640,0.236,7.46000,0.02350,2.230000,0.000000,29.86,611,,5281.00,0.81,0.84,-0.100,[Fe/H],-0.397,4.56,4.900,4.80501,,
Kepler-1135 b,Kepler-1135,1,1,0,0,Transit,2016,Kepler,0,76.95785700,0.343600,1.850,0.165,4.08000,0.01280,3.540000,0.000000,25.76,451,,5656.00,0.94,0.96,0.020,[Fe/H],0.437,4.47,4.470,0.57519,,
Kepler-1136 b,Kepler-1136,1,1,0,0,Transit,2016,Kepler,0,2.36172433,0.029900,1.640,0.146,3.33000,0.01050,4.150000,0.000000,150.06,922,,4512.00,0.68,0.72,0.030,[Fe/H],-0.853,4.63,3.240,11.55482,,
Kepler-1137 b,Kepler-1137,1,1,0,0,Transit,2016,Kepler,0,23.92107910,0.187100,2.200,0.196,5.48000,0.01720,2.830000,0.000000,197.85,1020,,6807.00,1.84,1.50,0.050,[Fe/H],0.754,4.08,1.580,0.36758,,
Kepler-1138 b,Kepler-1138,1,1,0,0,Transit,2016,Kepler,0,3.17060005,0.041500,1.700,0.152,3.53000,0.01110,3.950000,0.000000,245.90,1080,,5582.00,0.92,0.95,0.040,[Fe/H],-0.333,4.49,4.370,6.55345,,
Kepler-1139 b,Kepler-1139,1,1,0,0,Transit,2016,Kepler,0,0.81316672,0.016500,1.190,0.106,1.81000,0.00570,5.900000,0.000000,1717.28,1693,,5550.00,0.91,0.94,0.050,[Fe/H],-0.304,4.50,4.470,2.57532,,
Kepler-114 b,Kepler-114,1,3,0,0,Transit,2014,Kepler,0,5.18854900,0.053000,1.260,0.112,6.80000,0.02100,18.700000,0.000000,92.53,586,M0 V,4605.00,0.67,0.77,0.229,[M/H],-0.685,4.65,2.690,3.41328,,
Kepler-114 c,Kepler-114,1,3,0,0,Transit,2013,Kepler,0,8.04100000,0.064820,1.600,0.143,2.80000,0.00900,3.760000,0.000000,51.62,507,M0 V,4660.00,0.54,0.56,0.229,[M/H],-0.685,4.72,2.690,3.59149,,
Kepler-114 d,Kepler-114,1,3,0,0,Transit,2013,Kepler,0,11.77600000,0.083580,2.530,0.226,3.90000,0.01200,1.320000,0.000000,31.02,446,M0 V,4660.00,0.54,0.56,0.229,[M/H],-0.685,4.72,2.690,3.39257,,
Kepler-1140 b,Kepler-1140,1,1,0,0,Transit,2016,Kepler,0,24.08627070,0.147800,2.770,0.247,8.10000,0.02550,2.090000,0.000000,13.05,500,,4850.00,0.73,0.76,-0.080,[Fe/H],-0.566,4.61,5.010,5.29946,,
Kepler-1141 b,Kepler-1141,1,1,0,0,Transit,2016,Kepler,0,2.34451194,0.034500,0.820,0.073,0.47700,0.00150,4.750000,0.000000,1146.95,1471,,5791.00,1.07,1.01,0.040,[Fe/H],0.155,4.38,6.170,1.01527,,
Kepler-1142 b,Kepler-1142,1,1,0,0,Transit,2016,Kepler,0,18.30272480,0.134300,1.470,0.131,2.76000,0.00869,4.770000,0.000000,147.82,902,,5685.00,0.96,0.97,0.020,[Fe/H],0.437,4.46,5.370,0.09668,,
Kepler-1143 b,Kepler-1143,1,2,0,0,Transit,2016,Kepler,0,2.88890485,0.037100,1.670,0.149,3.43000,0.01080,4.050000,0.000000,173.06,976,,5053.00,0.77,0.81,-0.060,[Fe/H],-0.623,4.58,4.790,6.48761,,
Kepler-1143 c,Kepler-1143,1,2,0,0,Transit,2016,Kepler,0,210.63059100,0.647700,3.600,0.321,12.60000,0.03980,1.480000,0.000000,0.57,234,,5053.00,0.77,0.81,-0.060,[Fe/H],-0.623,4.58,4.790,1.62078,,
Kepler-1144 b,Kepler-1144,1,1,0,0,Transit,2016,Kepler,0,17.14647302,0.129100,1.990,0.178,4.62000,0.01450,3.220000,0.000000,62.06,811,,5753.00,0.96,0.98,-0.030,[Fe/H],0.056,4.47,3.980,2.63554,,
Kepler-1145 b,Kepler-1145,1,1,0,0,Transit,2016,Kepler,0,3.97076766,0.044300,1.400,0.125,2.54000,0.00800,5.090000,0.000000,198.43,958,,5064.00,0.75,0.79,-0.130,[Fe/H],-0.498,4.59,4.790,5.25201,,
Kepler-1146 b,Kepler-1146,1,1,0,0,Transit,2016,Kepler,0,2.35226580,0.032500,1.230,0.110,2.04000,0.00642,6.020000,0.000000,227.96,1019,,4692.00,0.70,0.74,-0.060,[Fe/H],-0.642,4.62,4.900,3.92223,,
Kepler-1147 b,Kepler-1147,1,1,0,0,Transit,2016,Kepler,0,10.62784997,0.096100,2.610,0.233,7.32000,0.02300,2.260000,0.000000,206.56,872,,5941.00,1.14,1.09,0.110,[Fe/H],0.235,4.36,3.800,0.68449,,
Kepler-1148 b,Kepler-1148,1,1,0,0,Transit,2016,Kepler,0,1.10446351,0.018800,1.690,0.151,3.50000,0.01100,3.980000,0.000000,815.41,1397,,5054.00,0.77,0.81,-0.020,[Fe/H],-0.531,4.58,4.570,8.38181,,
Kepler-1149 b,Kepler-1149,1,1,0,0,Transit,2016,Kepler,0,3.73089898,0.047300,1.440,0.128,2.67000,0.00839,4.910000,0.000000,653.83,1128,,5833.00,1.01,1.02,0.020,[Fe/H],0.165,4.43,3.980,1.08184,,
Kepler-115 b,Kepler-115,1,2,0,0,Transit,2014,Kepler,0,2.40367900,0.036000,1.090,0.097,1.32000,0.00416,5.600000,0.000000,1215.76,1489,,5979.00,1.21,1.07,-0.050,[M/H],0.220,4.31,5.500,0.99436,,
Kepler-115 c,Kepler-115,1,2,0,0,Transit,2014,Kepler,0,8.99088900,0.087000,2.600,0.232,7.27000,0.02290,2.270000,0.000000,209.10,960,,5979.00,1.21,1.07,-0.050,[M/H],0.220,4.31,5.500,1.13453,,
Kepler-1150 b,Kepler-1150,2,1,0,0,Transit,2016,Kepler,0,2.78786839,0.038200,1.020,0.091,1.04000,0.00328,5.390000,0.000000,153.74,1432,,4754.00,0.72,0.76,0.010,[Fe/H],-0.666,4.61,4.680,2.35572,,
Kepler-1151 b,Kepler-1151,1,1,0,0,Transit,2016,Kepler,0,65.64784240,0.319700,2.220,0.198,5.56000,0.01750,2.790000,0.000000,4.86,485,,5470.00,0.85,0.88,-0.110,[Fe/H],-0.342,4.53,4.370,6.66383,,
Kepler-1152 b,Kepler-1152,1,1,0,0,Transit,2016,Kepler,0,1.64680191,0.022300,0.870,0.078,0.59000,0.00186,4.920000,0.000000,139.60,806,,3964.00,0.53,0.55,-0.250,[Fe/H],-1.097,4.73,3.470,3.72809,,
Kepler-1153 b,Kepler-1153,1,1,0,0,Transit,2016,Kepler,0,1.75583533,0.027700,1.730,0.154,3.64000,0.01150,3.860000,0.000000,761.81,1343,,5470.00,0.88,0.91,0.030,[Fe/H],-0.284,4.52,4.570,2.57091,,
Kepler-1154 b,Kepler-1154,1,2,0,0,Transit,2016,Kepler,0,5.18561420,0.063100,2.340,0.209,6.08000,0.01910,2.610000,0.000000,652.97,1314,,6327.00,1.43,1.26,0.040,[Fe/H],0.452,4.23,2.290,0.68894,,
Kepler-1154 c,Kepler-1154,1,2,0,0,Transit,2016,Kepler,0,8.45808312,0.087500,2.360,0.211,6.17000,0.01940,2.580000,0.000000,339.57,1117,,6327.00,1.43,1.26,0.040,[Fe/H],0.452,4.23,2.290,2.48739,,
Kepler-1155 b,Kepler-1155,1,1,0,0,Transit,2016,Kepler,0,33.46974300,0.200600,2.030,0.181,4.78000,0.01500,3.140000,0.000000,32.52,609,,5842.00,1.03,1.03,0.040,[Fe/H],0.047,4.43,3.720,3.21232,,
Kepler-1156 b,Kepler-1156,1,1,0,0,Transit,2016,Kepler,0,11.89520511,0.099400,1.320,0.118,2.30000,0.00724,5.500000,0.000000,83.01,787,,5778.00,1.00,1.00,0.020,[Fe/H],-0.068,4.44,4.470,2.28121,,
Kepler-1157 b,Kepler-1157,1,1,0,0,Transit,2016,Kepler,0,4.45743164,0.044800,1.090,0.097,1.32000,0.00416,5.600000,0.000000,95.44,732,,4679.00,0.71,0.76,0.050,[Fe/H],-0.675,4.62,3.390,2.97604,,
Kepler-1158 b,Kepler-1158,1,1,0,0,Transit,2016,Kepler,0,13.53962930,0.124600,2.340,0.209,6.08000,0.01910,2.610000,0.000000,449.70,1079,,6203.00,1.95,1.41,0.180,[Fe/H],0.840,4.01,2.880,1.29966,,
Kepler-1159 b,Kepler-1159,1,1,0,0,Transit,2016,Kepler,0,22.70816791,0.160300,2.370,0.211,6.21000,0.01950,2.560000,0.000000,80.98,677,,6217.00,1.28,1.19,0.040,[Fe/H],0.298,4.30,2.750,4.66661,,
Kepler-116 b,Kepler-116,1,2,0,0,Transit,2014,Kepler,0,5.96873400,0.069000,3.420,0.305,11.60000,0.03640,1.590000,0.000000,594.45,1251,,6142.00,1.45,1.21,0.040,[Fe/H],0.421,4.20,0.340,1.06053,,
Kepler-116 c,Kepler-116,1,2,0,0,Transit,2014,Kepler,0,13.07163000,0.116000,2.300,0.205,5.90000,0.01860,2.660000,0.000000,208.98,964,,6142.00,1.45,1.21,0.040,[Fe/H],0.421,4.20,0.340,4.04639,,
Kepler-1160 b,Kepler-1160,1,1,0,0,Transit,2016,Kepler,0,7.97034958,0.075500,2.140,0.191,5.22000,0.01640,2.930000,0.000000,93.31,839,,5519.00,0.89,0.92,0.010,[Fe/H],-0.343,4.51,4.570,3.39097,,
Kepler-1161 b,Kepler-1161,1,1,0,0,Transit,2016,Kepler,0,10.71252541,0.078400,2.130,0.190,5.18000,0.01630,2.950000,0.000000,26.23,485,,4253.00,0.57,0.59,-0.350,[Fe/H],-0.653,4.70,3.390,3.57023,,
Kepler-1162 b,Kepler-1162,1,1,0,0,Transit,2016,Kepler,0,32.56370690,0.190000,2.210,0.197,5.52000,0.01740,2.810000,0.000000,12.24,490,,5390.00,0.84,0.89,-0.030,[Fe/H],-0.322,4.54,4.370,1.49185,,
Kepler-1163 b,Kepler-1163,1,1,0,0,Transit,2016,Kepler,0,6.11786898,0.068500,1.030,0.092,1.08000,0.00340,5.430000,0.000000,511.76,1211,,6302.00,1.35,1.22,0.020,[Fe/H],0.396,4.26,2.880,0.71347,,
Kepler-1164 b,Kepler-1164,1,1,0,0,Transit,2016,Kepler,0,3.97599768,0.045700,1.120,0.100,1.46000,0.00459,5.710000,0.000000,181.21,936,,5183.00,0.79,0.85,-0.030,[Fe/H],-0.399,4.57,3.630,2.76446,,
Kepler-1165 b,Kepler-1165,1,2,0,0,Transit,2016,Kepler,0,9.47852200,0.091400,1.550,0.138,3.02000,0.00951,4.460000,0.000000,464.77,946,,6080.00,1.18,1.13,0.050,[Fe/H],0.552,4.34,3.240,0.33691,,
Kepler-1165 c,Kepler-1165,1,2,0,0,Transit,2021,Kepler,0,29.96870041,0.196900,3.361,0.300,11.20000,0.03540,1.620000,0.000000,40.76,644,,6249.00,1.08,1.13,-0.040,[Fe/H],0.552,4.43,0.300,0.79028,,
Kepler-1166 b,Kepler-1166,1,1,0,0,Transit,2016,Kepler,0,33.24068820,0.197500,1.690,0.151,3.50000,0.01100,3.980000,0.000000,14.19,486,,5446.00,0.86,0.90,-0.020,[Fe/H],-0.256,4.53,4.900,2.66299,,
Kepler-1167 b,Kepler-1167,1,1,0,0,Transit,2016,Kepler,0,1.00393374,0.017500,1.710,0.153,3.57000,0.01120,3.920000,0.000000,1039.70,1419,,4971.00,0.75,0.79,-0.050,[Fe/H],-0.536,4.60,4.270,2.85817,,
Kepler-1168 b,Kepler-1168,1,1,0,0,Transit,2016,Kepler,0,55.82265390,0.266300,2.500,0.223,6.80000,0.02140,2.390000,0.000000,4.11,379,,5157.00,0.82,0.87,0.130,[Fe/H],-0.530,4.56,4.270,2.97042,,
Kepler-1169 b,Kepler-1169,1,1,0,0,Transit,2016,Kepler,0,6.11009134,0.070900,0.940,0.084,0.77900,0.00245,5.150000,0.000000,348.05,1125,,6191.00,1.23,1.24,0.260,[Fe/H],0.262,4.35,1.380,0.75322,,
Kepler-117 b,Kepler-117,1,2,0,0,Transit,2014,Kepler,0,18.79592280,0.144500,8.059,0.719,29.87500,0.09400,0.300000,0.049300,157.54,984,F8 V,6150.00,1.61,1.13,-0.040,[Fe/H],0.538,4.10,5.300,0.41000,6.0000,
Kepler-117 c,Kepler-117,1,2,0,0,Transit,2014,Kepler,0,50.79039100,0.280400,12.341,1.101,584.78000,1.84000,1.740000,0.032300,41.86,704,F8 V,6150.00,1.61,1.13,-0.040,[Fe/H],0.538,4.10,5.300,0.41000,6.0000,
Kepler-1170 b,Kepler-1170,1,1,0,0,Transit,2016,Kepler,0,9.98969327,0.088000,2.410,0.215,6.39000,0.02010,2.510000,0.000000,69.54,705,,5069.00,0.76,0.80,-0.090,[Fe/H],-0.338,4.58,4.900,1.80506,,
Kepler-1171 b,Kepler-1171,1,1,0,0,Transit,2016,Kepler,0,1.44259224,0.028400,2.560,0.228,7.08000,0.02230,2.320000,0.000000,10171.00,2700,,7044.00,1.95,1.58,-0.010,[Fe/H],0.869,4.05,1.350,0.47547,,
Kepler-1172 b,Kepler-1172,1,1,0,0,Transit,2016,Kepler,0,26.02044230,0.168000,3.200,0.285,10.30000,0.03250,1.730000,0.000000,26.36,675,,5558.00,0.89,0.92,-0.040,[Fe/H],-0.161,4.51,4.370,1.73973,,
Kepler-1173 b,Kepler-1173,1,1,0,0,Transit,2016,Kepler,0,0.76985360,0.015700,0.890,0.079,0.64000,0.00201,4.990000,0.000000,1462.10,1650,,5252.00,0.82,0.86,0.000,[Fe/H],-0.435,4.55,4.790,3.22018,,
Kepler-1174 b,Kepler-1174,1,1,0,0,Transit,2016,Kepler,0,6.89225223,0.073200,1.590,0.142,3.15000,0.00993,4.310000,0.000000,641.81,1156,,5936.00,1.04,1.04,-0.040,[Fe/H],0.555,4.42,3.550,3.89135,,
Kepler-1175 b,Kepler-1175,1,1,0,0,Transit,2016,Kepler,0,37.94563000,0.218100,2.990,0.267,9.22000,0.02900,1.900000,0.000000,12.94,515,,5453.00,0.86,0.90,-0.040,[Fe/H],-0.340,4.53,4.170,4.60464,,
Kepler-1176 b,Kepler-1176,1,1,0,0,Transit,2016,Kepler,0,24.17385790,0.158900,2.450,0.219,6.57000,0.02070,2.450000,0.000000,26.09,595,,5844.00,1.02,1.01,-0.010,[Fe/H],-0.117,4.42,3.800,6.92559,,
Kepler-1177 b,Kepler-1177,1,1,0,0,Transit,2016,Kepler,0,106.24754700,0.430100,1.900,0.170,4.27000,0.01340,3.420000,0.000000,11.86,377,,5712.00,0.97,0.98,0.020,[Fe/H],0.342,4.46,4.470,0.34158,,
Kepler-1178 b,Kepler-1178,1,1,0,0,Transit,2016,Kepler,0,31.80634000,0.159600,1.070,0.095,1.24000,0.00390,5.560000,0.000000,23.24,378,,4990.00,0.75,0.80,-0.050,[Fe/H],-0.277,4.59,4.680,3.02114,,
Kepler-1179 b,Kepler-1179,1,1,0,0,Transit,2016,Kepler,0,2.68505749,0.034600,1.320,0.118,2.30000,0.00724,5.500000,0.000000,288.57,1137,,5212.00,0.81,0.84,-0.030,[Fe/H],-0.444,4.56,4.900,21.63350,3.2000,
Kepler-118 b,Kepler-118,1,2,0,0,Transit,2014,Kepler,0,7.51849600,0.073000,1.960,0.175,4.50000,0.01420,3.280000,0.000000,79.75,784,,5274.00,1.09,0.81,0.180,[Fe/H],-0.377,4.32,13.900,2.37825,,
Kepler-118 c,Kepler-118,1,2,0,0,Transit,2014,Kepler,0,20.17202000,0.141000,7.680,0.685,45.70000,0.14400,0.554000,0.000000,21.41,564,,5274.00,1.09,0.81,0.180,[Fe/H],-0.377,4.32,13.900,6.77384,,
Kepler-1180 b,Kepler-1180,1,1,0,0,Transit,2016,Kepler,0,16.86012860,0.124600,1.990,0.178,4.62000,0.01450,3.220000,0.000000,175.85,765,,6077.00,1.14,1.09,0.000,[Fe/H],0.417,4.36,3.090,0.66064,,
Kepler-1181 b,Kepler-1181,1,1,0,0,Transit,2016,Kepler,0,4.89337519,0.062100,1.570,0.140,3.09000,0.00972,4.390000,0.000000,831.14,1374,,6176.00,1.30,1.17,0.030,[Fe/H],0.472,4.27,3.240,1.15805,,
Kepler-1182 b,Kepler-1182,1,1,0,0,Transit,2016,Kepler,0,11.17394617,0.098100,2.410,0.215,6.39000,0.02010,2.510000,0.000000,197.88,796,,5924.00,1.05,1.04,0.010,[Fe/H],0.256,4.41,3.390,2.73705,,
Kepler-1183 b,Kepler-1183,1,1,0,0,Transit,2016,Kepler,0,28.50571890,0.179300,2.820,0.252,8.35000,0.02630,2.050000,0.000000,61.66,555,,5765.00,0.99,1.00,0.040,[Fe/H],0.255,4.45,4.270,1.04093,,
Kepler-1184 b,Kepler-1184,1,1,0,0,Transit,2016,Kepler,0,53.59910440,0.286300,2.680,0.239,7.65000,0.02410,2.180000,0.000000,18.04,529,,5983.00,1.07,1.05,-0.040,[Fe/H],0.065,4.41,3.550,0.68566,,
Kepler-1185 b,Kepler-1185,1,1,0,0,Transit,2016,Kepler,0,104.35189760,0.429700,1.330,0.119,2.33000,0.00733,5.440000,0.000000,9.31,355,,5622.00,0.87,0.96,-0.040,[Fe/H],0.282,4.54,1.550,0.62260,,
Kepler-1186 b,Kepler-1186,1,1,0,0,Transit,2016,Kepler,0,16.07677615,0.128100,2.230,0.199,5.60000,0.01760,2.770000,0.000000,85.39,724,,5635.00,0.93,0.95,0.000,[Fe/H],0.064,4.49,4.470,12.86220,,
Kepler-1187 b,Kepler-1187,1,1,0,0,Transit,2016,Kepler,0,18.87064068,0.140100,2.610,0.233,7.32000,0.02300,2.260000,0.000000,72.96,701,,5975.00,1.09,1.06,-0.010,[Fe/H],0.136,4.39,3.390,4.91133,,
Kepler-1188 b,Kepler-1188,1,1,0,0,Transit,2016,Kepler,0,17.13695430,0.135000,2.080,0.186,4.98000,0.01570,3.040000,0.000000,165.57,775,,5913.00,1.06,1.04,0.000,[Fe/H],0.398,4.40,4.170,0.58322,,
Kepler-1189 b,Kepler-1189,1,1,0,0,Transit,2016,Kepler,0,3.78858982,0.046700,1.770,0.158,3.78000,0.01190,3.750000,0.000000,449.94,1158,,6012.00,1.16,1.11,0.080,[Fe/H],0.041,4.36,3.390,1.42473,,
Kepler-119 b,Kepler-119,1,2,0,0,Transit,2014,Kepler,0,2.42208200,0.035000,3.600,0.321,12.60000,0.03980,1.480000,0.000000,745.28,1213,,5595.00,0.84,0.92,0.010,[Fe/H],-0.037,4.57,3.630,1.35492,,
Kepler-119 c,Kepler-119,1,2,0,0,Transit,2014,Kepler,0,4.12510300,0.049000,0.920,0.082,0.72100,0.00227,5.090000,0.000000,367.32,1016,,5595.00,0.84,0.92,0.010,[Fe/H],-0.037,4.57,3.630,1.37114,,
Kepler-1190 b,Kepler-1190,1,1,0,0,Transit,2016,Kepler,0,10.45843441,0.084500,1.330,0.119,2.33000,0.00733,5.440000,0.000000,24.21,609,,4730.00,0.72,0.76,-0.020,[Fe/H],-0.727,4.62,3.980,2.94604,,
Kepler-1191 b,Kepler-1191,1,1,0,0,Transit,2016,Kepler,0,5.60014851,0.058700,1.510,0.135,2.89000,0.00909,4.610000,0.000000,167.18,952,,5308.00,0.81,0.85,-0.080,[Fe/H],-0.226,4.56,4.570,2.26307,,
Kepler-1192 b,Kepler-1192,1,1,0,0,Transit,2016,Kepler,0,25.20347870,0.169300,2.360,0.211,6.17000,0.01940,2.580000,0.000000,34.74,600,,5438.00,0.83,0.86,-0.160,[Fe/H],-0.128,4.55,4.470,2.33467,,
Kepler-1193 b,Kepler-1193,1,1,0,0,Transit,2016,Kepler,0,2.83265213,0.040300,1.320,0.118,2.30000,0.00724,5.500000,0.000000,1286.39,1453,,5908.00,1.21,1.08,0.120,[Fe/H],0.351,4.31,5.010,0.48553,,
Kepler-1194 b,Kepler-1194,1,1,0,0,Transit,2016,Kepler,0,16.22371307,0.121200,1.510,0.135,2.89000,0.00909,4.610000,0.000000,49.35,676,,5590.00,0.92,0.94,0.000,[Fe/H],-0.127,4.49,4.790,6.60457,,
Kepler-1195 b,Kepler-1195,1,1,0,0,Transit,2016,Kepler,0,8.49642241,0.072600,2.080,0.186,4.98000,0.01570,3.040000,0.000000,79.03,702,,4965.00,0.71,0.74,-0.250,[Fe/H],-0.446,4.61,4.470,6.93388,,
Kepler-1196 b,Kepler-1196,1,1,0,0,Transit,2016,Kepler,0,66.18490310,0.317900,2.230,0.199,5.60000,0.01760,2.770000,0.000000,8.30,436,,5756.00,0.97,0.98,0.000,[Fe/H],-0.047,4.46,3.980,5.34075,,
Kepler-1197 b,Kepler-1197,1,1,0,0,Transit,2016,Kepler,0,2.03231845,0.028300,1.250,0.112,2.10000,0.00660,5.910000,0.000000,267.14,1011,,4708.00,0.72,0.78,0.060,[Fe/H],-0.666,4.62,2.690,7.75533,,
Kepler-1198 b,Kepler-1198,1,1,0,0,Transit,2016,Kepler,0,7.68477160,0.073200,1.470,0.131,2.76000,0.00869,4.770000,0.000000,108.07,830,,5517.00,0.90,0.93,0.030,[Fe/H],-0.232,4.50,4.680,3.85065,,
Kepler-1199 b,Kepler-1199,1,1,0,0,Transit,2016,Kepler,0,15.04471980,0.115200,1.150,0.103,1.60000,0.00505,5.780000,0.000000,92.58,931,,5889.00,1.17,0.94,-0.270,[Fe/H],0.187,4.27,7.760,0.66070,,
Kepler-12 b,Kepler-12,1,1,0,0,Transit,2011,Kepler,0,4.43796290,0.055300,19.661,1.754,137.30256,0.43200,0.110000,0.000000,877.54,1480,,5947.00,1.48,1.17,0.070,[Fe/H],0.449,4.17,4.000,0.50824,0.8000,
Kepler-120 b,Kepler-120,1,2,0,0,Transit,2014,Kepler,0,6.31250100,0.055000,2.150,0.192,8.50000,0.02700,4.700000,0.000000,42.69,575,M0 V,4096.00,0.53,0.65,-0.120,[Fe/H],-0.677,4.73,3.630,2.77559,,
Kepler-120 c,Kepler-120,1,2,0,0,Transit,2014,Kepler,0,12.79458500,0.088000,1.530,0.136,2.96000,0.00930,4.540000,0.000000,16.62,455,M0 V,4096.00,0.53,0.65,-0.120,[Fe/H],-0.677,4.73,3.630,2.77961,,
Kepler-1200 b,Kepler-1200,1,1,0,0,Transit,2016,Kepler,0,1.11854972,0.018800,1.060,0.095,1.20000,0.00377,5.540000,0.000000,544.53,1174,,4612.00,0.70,0.74,0.040,[Fe/H],-0.689,4.63,3.020,2.48278,,
Kepler-1201 b,Kepler-1201,1,1,0,0,Transit,2016,Kepler,0,15.18725932,0.118300,2.290,0.204,5.86000,0.01840,2.680000,0.000000,89.43,789,,6177.00,1.24,1.15,0.030,[Fe/H],0.044,4.32,2.950,0.26952,,
Kepler-1202 b,Kepler-1202,1,1,0,0,Transit,2016,Kepler,0,28.68513240,0.179000,2.940,0.262,8.96000,0.02820,1.940000,0.000000,23.88,547,,5834.00,1.04,1.03,0.060,[Fe/H],-0.134,4.42,4.170,0.87771,,
Kepler-1203 b,Kepler-1203,1,1,0,0,Transit,2016,Kepler,0,0.58800076,0.011400,1.060,0.095,1.20000,0.00377,5.540000,0.000000,723.81,1188,,4105.00,0.61,0.64,0.010,[Fe/H],-0.854,4.67,3.470,2.81504,,
Kepler-1204 b,Kepler-1204,1,1,0,0,Transit,2016,Kepler,0,85.73502850,0.387700,3.050,0.272,9.53000,0.03000,1.850000,0.000000,7.02,448,,5825.00,1.03,1.03,0.060,[Fe/H],-0.058,4.42,4.270,1.73921,,
Kepler-1205 b,Kepler-1205,1,1,0,0,Transit,2016,Kepler,0,1.07839035,0.019600,1.410,0.126,2.57000,0.00809,5.040000,0.000000,1038.49,1667,,5226.00,0.81,0.84,-0.040,[Fe/H],-0.418,4.56,4.900,4.98940,,
Kepler-1206 b,Kepler-1206,1,1,0,0,Transit,2016,Kepler,0,1.21699766,0.020100,1.640,0.146,3.33000,0.01050,4.150000,0.000000,588.02,1314,,4877.00,0.75,0.80,0.070,[Fe/H],-0.620,4.60,3.550,4.70990,,
Kepler-1207 b,Kepler-1207,1,1,0,0,Transit,2016,Kepler,0,13.68237119,0.115600,1.620,0.145,3.26000,0.01020,4.210000,0.000000,352.51,802,,5909.00,1.06,1.06,0.050,[Fe/H],0.638,4.41,3.630,0.88930,,
